age,job,marital,education,default,housing,loan,id,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
52,management,married,university.degree,no,no,no,8302,cellular,may,fri,5,999,0,nonexistent,-1.8,93.876,-40.0,0.684,5008.7
45,management,married,unknown,no,yes,no,1681,cellular,apr,tue,3,7,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7
37,blue-collar,married,unknown,no,no,no,21401,telephone,may,tue,3,999,1,failure,1.1,93.994,-36.4,4.857,5191.0
29,admin.,married,university.degree,no,yes,no,24305,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
47,blue-collar,married,unknown,unknown,no,no,38068,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
39,blue-collar,married,Basic,no,no,no,16624,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
32,technician,married,university.degree,no,yes,no,8235,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
38,admin.,married,university.degree,no,yes,no,5470,cellular,apr,fri,1,999,1,success,-1.8,93.075,-47.1,1.405,5099.1
31,unemployed,single,Basic,no,yes,yes,23600,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8
45,self-employed,married,Basic,unknown,no,no,26300,cellular,aug,tue,2,999,1,failure,1.4,93.444,-36.1,4.966,5228.1
35,technician,married,professional.course,no,no,no,5528,cellular,apr,thu,2,5,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1
32,admin.,married,professional.course,no,yes,no,10541,cellular,oct,tue,1,999,1,failure,-3.4,92.431,-26.9,0.742,5017.5
34,management,married,university.degree,no,no,no,16140,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
35,services,married,high.school,no,yes,no,33297,telephone,may,mon,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
47,entrepreneur,married,professional.course,unknown,unknown,unknown,5446,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1
40,blue-collar,married,Basic,no,yes,no,4589,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
25,self-employed,single,university.degree,no,unknown,unknown,21895,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
36,admin.,married,high.school,unknown,no,no,7866,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
27,blue-collar,single,Basic,no,unknown,unknown,19095,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
42,technician,divorced,professional.course,no,yes,yes,32025,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
42,blue-collar,divorced,high.school,no,no,no,18323,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
64,housemaid,married,Basic,no,yes,no,31706,cellular,nov,mon,1,999,0,nonexistent,-3.4,92.649,-30.1,0.722,5017.5
58,admin.,married,university.degree,no,yes,no,4994,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
47,blue-collar,married,Basic,unknown,yes,no,3332,cellular,may,mon,1,999,1,failure,-1.8,92.893,-46.2,1.2990000000000002,5099.1
