contact,month,day_of_week,campaign,pdays,previous,poutcome,id
cellular,may,fri,5,999,0,nonexistent,8302
cellular,apr,tue,3,7,0,nonexistent,1681
telephone,may,tue,3,999,1,failure,21401
telephone,may,thu,1,999,0,nonexistent,24305
telephone,may,tue,1,999,0,nonexistent,38068
telephone,may,wed,1,999,0,nonexistent,16624
cellular,aug,mon,1,999,0,nonexistent,8235
cellular,apr,fri,1,999,1,success,5470
cellular,nov,fri,1,999,1,failure,23600
cellular,aug,tue,2,999,1,failure,26300
cellular,apr,thu,2,5,0,nonexistent,5528
cellular,oct,tue,1,999,1,failure,10541
telephone,jun,wed,2,999,0,nonexistent,16140
telephone,may,mon,6,999,0,nonexistent,33297
telephone,jun,thu,3,999,0,nonexistent,5446
cellular,jul,wed,1,999,0,nonexistent,4589
telephone,may,fri,2,999,0,nonexistent,21895
cellular,may,mon,3,999,0,nonexistent,7866
cellular,jul,mon,3,999,0,nonexistent,19095
cellular,aug,tue,1,999,0,nonexistent,32025
telephone,jun,tue,1,999,0,nonexistent,18323
cellular,nov,mon,1,999,0,nonexistent,31706
cellular,aug,wed,1,999,0,nonexistent,4994
cellular,may,mon,1,999,1,failure,3332
cellular,aug,thu,2,999,1,failure,18236
cellular,aug,tue,1,999,0,nonexistent,24163
cellular,aug,tue,1,999,0,nonexistent,24258
cellular,dec,thu,1,999,1,failure,3383
telephone,may,mon,2,999,0,nonexistent,23193
cellular,may,tue,2,999,0,nonexistent,6899
telephone,may,fri,3,999,0,nonexistent,26941
cellular,nov,tue,1,999,1,failure,17004
telephone,may,fri,2,999,0,nonexistent,9145
telephone,jun,mon,4,999,1,failure,13079
cellular,aug,fri,8,999,0,nonexistent,13612
telephone,jun,fri,9,999,0,nonexistent,23320
telephone,may,thu,2,999,0,nonexistent,10843
cellular,may,tue,2,999,1,failure,32280
cellular,nov,fri,3,999,0,nonexistent,3742
telephone,jun,fri,24,999,1,success,15789
telephone,may,fri,14,999,0,nonexistent,241
telephone,may,mon,1,999,0,nonexistent,4905
