age,job,marital,education,default,housing,loan,id,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
38,admin.,divorced,university.degree,no,yes,no,35704,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
33,services,single,basic.6y,unknown,yes,yes,16354,telephone,may,wed,8,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1
40,blue-collar,married,basic.4y,unknown,yes,no,10501,cellular,jul,wed,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
56,blue-collar,married,basic.9y,unknown,no,no,26419,cellular,jul,fri,8,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
56,technician,divorced,basic.9y,no,yes,no,15197,telephone,jun,fri,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
60,self-employed,divorced,university.degree,no,no,no,40154,cellular,aug,thu,2,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.883,5076.2
50,admin.,married,university.degree,no,no,no,20899,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
39,services,married,high.school,no,no,no,3,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
58,unemployed,married,basic.4y,unknown,no,no,30607,telephone,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
34,blue-collar,married,basic.9y,no,yes,no,16762,cellular,may,mon,2,11,1,success,-1.8,92.89299999999999,-46.2,1.244,5099.1
55,blue-collar,married,professional.course,unknown,yes,yes,11592,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
30,services,married,high.school,unknown,yes,no,30301,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1
32,services,single,unknown,unknown,yes,yes,27778,cellular,jul,tue,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
36,admin.,married,university.degree,no,no,no,29245,cellular,apr,tue,6,999,1,failure,-1.8,93.075,-47.1,1.423,5099.1
32,admin.,married,high.school,no,yes,yes,22410,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
54,admin.,married,high.school,no,no,no,3780,cellular,aug,wed,10,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
