age,job,marital,education,default,housing,loan,id,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
29,management,single,university.degree,no,no,no,26150,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,0.04963,5228.1
54,technician,married,basic.9y,no,no,no,23092,cellular,aug,wed,2,999,0,nonexistent,-2.9,92.201,-31.4,0.00854,5076.2
31,management,single,university.degree,no,yes,yes,1207,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,0.012990000000000002,5099.1
36,housemaid,divorced,basic.9y,no,yes,no,30118,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42.0,0.041530000000000004,5195.8
56,retired,married,high.school,unknown,yes,no,17843,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,0.04968,5228.1
55,blue-collar,married,basic.6y,unknown,no,no,23901,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,0.048639999999999996,5191.0
46,admin.,married,university.degree,no,yes,no,8136,cellular,aug,thu,3,999,0,nonexistent,-2.9,92.201,-31.4,0.00829,5076.2
48,entrepreneur,married,basic.4y,no,no,yes,30701,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,0.04865,5228.1
29,blue-collar,married,basic.9y,unknown,yes,no,214,cellular,may,thu,6,999,0,nonexistent,-1.8,92.893,-46.2,0.01266,5099.1
29,admin.,married,high.school,no,yes,no,25682,cellular,jun,tue,2,13,1,success,-1.7,94.055,-39.8,0.007229999999999999,4991.6
54,admin.,married,high.school,no,yes,no,12325,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,0.04964,5228.1
48,services,married,professional.course,unknown,yes,yes,9016,cellular,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,0.04963,5228.1
45,blue-collar,married,basic.6y,unknown,yes,no,24415,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,0.04964,5228.1
42,blue-collar,married,basic.4y,unknown,yes,no,11835,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
29,admin.,single,university.degree,no,no,no,21335,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,0.0496,5228.1
30,unemployed,married,high.school,no,no,no,20665,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,0.041530000000000004,5195.8
55,management,divorced,university.degree,no,no,no,40434,cellular,nov,thu,2,999,1,failure,-0.1,93.2,-42.0,0.040760000000000005,5195.8
43,admin.,divorced,university.degree,unknown,no,no,23134,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,0.04966,5228.1
41,admin.,divorced,university.degree,no,yes,no,9587,telephone,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,0.04191,5195.8
45,unknown,married,unknown,no,yes,no,3008,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,0.0486,5191.0
29,management,single,university.degree,no,yes,no,33157,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,0.04859,5191.0
30,student,single,high.school,unknown,no,no,32642,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,0.04856,5191.0
41,technician,married,university.degree,no,unknown,unknown,32116,telephone,jun,thu,10,999,0,nonexistent,1.4,94.465,-41.8,0.048660000000000016,5228.1
38,admin.,single,high.school,no,yes,yes,3233,cellular,aug,mon,1,999,0,nonexistent,-2.9,92.201,-31.4,0.00884,5076.2
37,blue-collar,married,high.school,no,yes,no,38144,cellular,apr,mon,3,999,0,nonexistent,-1.8,93.075,-47.1,0.01405,5099.1
34,unknown,married,unknown,unknown,no,no,5105,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,0.04967,5228.1
31,unemployed,single,high.school,no,yes,no,14532,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,0.049569999999999996,5228.1
31,admin.,married,university.degree,no,yes,no,19596,cellular,mar,tue,3,999,0,nonexistent,-1.8,92.843,-50.0,0.01556,5099.1
