age,job,marital,education,default,housing,loan,id,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
45,services,divorced,high.school,no,no,no,14286,telephone,may,fri,8,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
41,blue-collar,married,basic.9y,unknown,no,no,22110,telephone,jun,fri,6,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
37,housemaid,married,university.degree,no,yes,no,31123,telephone,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.2860000000000005,5195.8
58,management,single,university.degree,no,no,yes,21491,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.3130000000000002,5099.1
38,technician,married,professional.course,no,no,no,30064,cellular,aug,mon,1,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2
34,admin.,married,university.degree,no,no,yes,40921,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
59,retired,single,high.school,no,yes,no,676,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
58,admin.,married,university.degree,no,no,no,27530,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
30,blue-collar,single,basic.4y,unknown,no,no,13851,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
37,entrepreneur,married,basic.9y,no,yes,no,31077,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
33,admin.,married,high.school,unknown,yes,no,31715,cellular,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
30,admin.,divorced,high.school,no,yes,no,24400,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
53,technician,married,high.school,no,yes,no,26545,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
53,blue-collar,married,basic.9y,no,no,no,16104,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
34,admin.,married,university.degree,no,yes,yes,24885,cellular,nov,fri,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8
38,blue-collar,married,basic.4y,no,no,no,26047,cellular,apr,tue,1,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1
42,retired,divorced,illiterate,no,no,no,33905,cellular,aug,wed,4,999,0,nonexistent,-2.9,92.201,-31.4,0.8340000000000001,5076.2
43,management,married,university.degree,no,yes,no,33991,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
34,management,married,university.degree,no,yes,no,3605,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
37,technician,married,professional.course,no,no,no,24768,cellular,apr,thu,1,18,1,success,-1.8,93.749,-34.6,0.659,5008.7
