euribor3m,job_blue-collar,job_housemaid,marital_unknown,month_apr,month_aug,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,poutcome_success,id,prediction
4.864,0,0,0,0,0,0,0,0,1,0,0,0,14286,0
4.967,1,0,0,0,0,0,1,0,0,0,0,0,22110,0
4.2860000000000005,0,1,0,0,0,0,0,0,0,1,0,0,31123,0
1.3130000000000002,0,0,0,0,0,0,0,0,1,0,0,0,21491,0
0.884,0,0,0,0,1,0,0,0,0,0,0,0,30064,0
4.962,0,0,0,0,0,1,0,0,0,0,0,0,40921,0
4.958,0,0,0,0,0,1,0,0,0,0,0,0,676,0
4.965,0,0,0,0,1,0,0,0,0,0,0,0,27530,0
4.864,1,0,0,0,0,0,0,0,1,0,0,0,13851,0
4.865,0,0,0,0,0,0,1,0,0,0,0,0,31077,0
4.961,0,0,0,0,0,1,0,0,0,0,0,0,31715,0
4.0760000000000005,0,0,0,0,0,0,0,0,0,1,0,0,24400,0
4.968,0,0,0,0,1,0,0,0,0,0,0,0,26545,0
4.12,1,0,0,0,0,0,0,0,0,1,0,0,16104,0
4.021,0,0,0,0,0,0,0,0,0,1,0,0,24885,0
1.453,1,0,0,1,0,0,0,0,0,0,0,0,26047,0
0.8340000000000001,0,0,0,0,1,0,0,0,0,0,0,0,33905,0
1.334,0,0,0,0,0,0,0,0,1,0,0,0,33991,0
4.86,0,0,0,0,0,0,0,0,1,0,0,0,3605,0
0.659,0,0,0,1,0,0,0,0,0,0,0,1,24768,1
4.967,0,0,0,0,0,0,1,0,0,0,0,0,18754,0
4.967,0,0,0,0,0,0,1,0,0,0,0,0,32803,0
4.965,0,0,0,0,1,0,0,0,0,0,0,0,17381,0
0.8190000000000001,0,0,0,0,0,0,0,0,0,0,0,0,34453,0
1.354,1,0,0,0,0,0,0,0,1,0,0,0,9447,0
4.9639999999999995,0,0,0,0,1,0,0,0,0,0,0,0,3162,0
4.967,1,0,0,0,0,0,1,0,0,0,0,0,40382,0
1.327,1,0,0,0,0,0,0,0,1,0,0,0,40428,0
4.965,0,0,0,0,1,0,0,0,0,0,0,0,4993,0
1.281,1,0,0,0,0,0,0,0,1,0,0,0,39213,0
4.856,0,0,0,0,0,0,0,0,1,0,0,0,8741,0
4.8580000000000005,1,0,0,0,0,0,0,0,1,0,0,0,34213,0
4.965,0,0,0,0,1,0,0,0,0,0,0,0,18514,0
4.857,0,0,0,0,0,0,0,0,1,0,0,0,9754,0
0.74,0,0,0,0,0,0,0,0,0,0,1,0,8528,0
4.957,0,0,0,0,0,1,0,0,0,0,0,0,7595,0
1.244,0,0,0,0,0,0,0,0,1,0,0,0,20937,0
4.021,0,0,0,0,0,0,0,0,0,1,0,0,15428,0
4.958,0,0,0,0,0,1,0,0,0,0,0,0,17755,0
4.857,0,0,0,0,0,0,0,0,1,0,0,0,21422,0
4.961,1,0,0,0,0,1,0,0,0,0,0,0,13568,0
0.7809999999999999,0,0,0,0,0,0,0,0,0,0,0,0,2943,0
4.857,1,0,0,0,0,0,0,0,1,0,0,0,34899,0
4.856,0,0,0,0,0,0,0,0,1,0,0,0,28752,0
4.86,0,0,0,0,0,0,0,0,1,0,0,0,40458,0
4.86,0,0,0,0,0,0,0,0,1,0,0,0,490,0
4.965,0,0,0,0,1,0,0,0,0,0,0,0,29150,0
0.884,0,0,0,0,1,0,0,0,0,0,0,1,13896,1
4.965,0,0,0,0,1,0,0,0,0,0,0,0,1363,0
4.967,0,0,0,0,1,0,0,0,0,0,0,0,20322,0
1.757,0,0,0,0,0,0,0,1,0,0,0,0,21850,0
4.864,0,0,1,0,0,0,0,0,1,0,0,0,6482,0
4.968,1,0,0,0,0,1,0,0,0,0,0,0,38347,0
4.961,0,0,0,0,0,0,1,0,0,0,0,0,35314,0
4.859,0,0,0,0,0,0,0,0,1,0,0,0,3007,0
1.41,1,0,0,1,0,0,0,0,0,0,0,0,25394,0
4.12,0,0,0,0,0,0,0,0,0,1,0,0,13275,0
1.3130000000000002,0,0,0,0,0,0,0,0,1,0,0,0,16739,0
4.9639999999999995,0,0,0,0,1,0,0,0,0,0,0,0,6112,0
0.993,0,0,0,0,0,0,0,0,0,0,1,1,34271,1
1.405,0,0,0,1,0,0,0,0,0,0,0,0,10701,0
4.0760000000000005,1,0,0,0,0,0,0,0,0,1,0,0,12898,0
4.86,0,0,0,0,0,0,0,0,1,0,0,0,12772,0
4.857,0,0,0,0,0,0,0,0,1,0,0,0,11439,0
1.423,0,0,0,1,0,0,0,0,0,0,0,0,32743,0
4.962,0,0,0,0,0,0,1,0,0,0,0,0,354,0
1.262,0,0,0,0,0,0,1,0,0,0,0,0,23790,0
4.857,0,0,0,0,0,0,0,0,1,0,0,0,33928,0
1.266,0,0,0,0,0,0,1,0,0,0,0,0,34118,0
1.405,1,0,0,1,0,0,0,0,0,0,0,0,21042,0
4.021,0,0,0,0,0,0,0,0,0,1,0,0,30571,0
4.962,0,0,0,0,1,0,0,0,0,0,0,0,4215,0
4.1530000000000005,0,0,0,0,0,0,0,0,0,1,0,0,12233,0
1.3130000000000002,1,0,0,0,0,0,0,0,1,0,0,0,7961,0
4.958,0,0,0,0,0,1,0,0,0,0,0,0,21537,0
4.963,0,0,0,0,1,0,0,0,0,0,0,0,14266,0
4.966,0,0,0,0,0,1,0,0,0,0,0,0,24494,0
4.021,0,0,0,0,0,0,0,0,0,1,0,0,9203,0
4.968,0,0,0,0,1,0,0,0,0,0,0,0,21046,0
1.032,0,0,0,0,0,0,0,0,0,0,1,1,7091,1
4.856,1,0,0,0,0,0,0,0,1,0,0,0,824,0
4.962,0,0,0,0,0,1,0,0,0,0,0,0,6974,0
4.967,0,0,0,0,1,0,0,0,0,0,0,0,16207,0
0.74,0,0,0,0,0,0,0,0,0,0,1,0,5741,0
1.327,0,0,0,0,0,0,0,0,1,0,0,0,35832,0
4.959,0,0,0,0,0,0,1,0,0,0,0,0,25258,0
4.857,1,0,0,0,0,0,0,0,1,0,0,0,37241,0
1.334,0,1,0,0,0,0,0,0,1,0,0,0,6628,0
1.344,0,0,0,0,0,0,0,0,1,0,0,0,15627,0
4.961,0,0,0,0,0,1,0,0,0,0,0,0,896,0
4.9639999999999995,0,0,0,0,1,0,0,0,0,0,0,0,26381,0
