emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,id
-1.8,92.893,-46.2,3,5099.1,580
1.1,93.994,-36.4,3,5191.0,10104
-1.1,94.199,-37.5,3,4963.6,2987
1.4,93.918,-42.7,3,5228.1,4480
-0.1,93.2,-42.0,3,5195.8,30639
1.4,94.465,-41.8,3,5228.1,22691
-1.8,92.893,-46.2,3,5099.1,20967
-1.8,93.075,-47.1,3,5099.1,19788
1.4,93.918,-42.7,3,5228.1,9422
1.4,94.465,-41.8,3,5228.1,37458
1.1,93.994,-36.4,3,5191.0,16994
1.4,93.918,-42.7,3,5228.1,10095
-1.8,93.075,-47.1,3,5099.1,39895
-1.8,92.893,-46.2,3,5099.1,39766
-1.8,92.893,-46.2,3,5099.1,15738
1.1,93.994,-36.4,3,5191.0,7570
-1.8,93.075,-47.1,3,5099.1,19991
1.4,94.465,-41.8,3,5228.1,37538
1.4,93.918,-42.7,3,5228.1,15280
-1.8,92.893,-46.2,3,5099.1,36536
1.1,93.994,-36.4,3,5191.0,18946
1.1,93.994,-36.4,3,5191.0,16229
1.4,93.918,-42.7,3,5228.1,7824
-3.4,92.431,-26.9,3,5017.5,32109
1.1,93.994,-36.4,3,5191.0,12659
1.4,93.444,-36.1,3,5228.1,17637
1.4,93.444,-36.1,3,5228.1,30638
-2.9,92.963,-40.8,3,5076.2,22696
-1.8,92.893,-46.2,3,5099.1,20211
1.1,93.994,-36.4,3,5191.0,32079
-1.8,92.893,-46.2,3,5099.1,9195
1.4,93.444,-36.1,3,5228.1,27485
1.4,93.444,-36.1,3,5228.1,13234
1.1,93.994,-36.4,3,5191.0,16098
-1.8,92.893,-46.2,3,5099.1,4765
-0.1,93.2,-42.0,3,5195.8,15889
-1.8,93.075,-47.1,3,5099.1,22806
-1.1,94.601,-49.5,3,4963.6,2146
-1.8,93.075,-47.1,3,5099.1,1078
-1.8,92.893,-46.2,3,5099.1,34480
1.1,93.994,-36.4,3,5191.0,38243
1.4,93.918,-42.7,3,5228.1,15178
1.4,93.918,-42.7,3,5228.1,34067
-1.8,92.893,-46.2,3,5099.1,32164
-0.1,93.2,-42.0,3,5195.8,14691
1.1,93.994,-36.4,3,5191.0,40061
1.1,93.994,-36.4,3,5191.0,34143
-1.8,92.893,-46.2,3,5099.1,28654
1.4,93.444,-36.1,3,5228.1,31449
1.1,93.994,-36.4,3,5191.0,39405
1.4,93.918,-42.7,3,5228.1,23168
-0.1,93.2,-42.0,3,5195.8,11273
-1.8,93.369,-34.8,3,5008.7,16369
1.1,93.994,-36.4,3,5191.0,31448
-1.8,92.893,-46.2,3,5099.1,40520
1.1,93.994,-36.4,3,5191.0,13407
1.4,94.465,-41.8,3,5228.1,13719
1.4,94.465,-41.8,3,5228.1,30239
1.4,93.918,-42.7,3,5228.1,29183
-1.8,93.075,-47.1,3,5099.1,39358
1.4,93.444,-36.1,3,5228.1,36365
1.4,93.918,-42.7,3,5228.1,13285
-1.7,94.055,-39.8,3,4991.6,4518
-1.8,92.893,-46.2,3,5099.1,5842
1.4,93.444,-36.1,3,5228.1,19377
1.4,93.918,-42.7,3,5228.1,31316
-0.1,93.2,-42.0,3,5195.8,6376
-0.1,93.2,-42.0,3,5195.8,3186
-0.1,93.2,-42.0,3,5195.8,37489
1.1,93.994,-36.4,3,5191.0,19229
1.4,93.444,-36.1,3,5228.1,44
-1.8,92.893,-46.2,3,5099.1,9101
-1.1,94.767,-50.8,3,4963.6,3132
1.4,93.918,-42.7,3,5228.1,25734
1.1,93.994,-36.4,3,5191.0,4347
-1.8,92.893,-46.2,3,5099.1,33019
-1.8,92.893,-46.2,3,5099.1,1337
-1.8,93.369,-34.8,3,5008.7,35592
-3.4,92.649,-30.1,3,5017.5,16314
-1.8,93.075,-47.1,3,5099.1,13415
1.4,93.444,-36.1,3,5228.1,12029
1.1,93.994,-36.4,3,5191.0,40488
1.4,93.918,-42.7,3,5228.1,38709
-0.1,93.2,-42.0,3,5195.8,671
1.1,93.994,-36.4,3,5191.0,38878
-1.8,92.843,-50.0,3,5099.1,3181
-1.8,93.075,-47.1,3,5099.1,31100
-0.1,93.2,-42.0,3,5195.8,14571
1.4,94.465,-41.8,3,5228.1,23485
1.4,93.918,-42.7,3,5228.1,27262
1.1,93.994,-36.4,3,5191.0,40245
1.1,93.994,-36.4,3,5191.0,13716
-1.8,92.893,-46.2,3,5099.1,24592
-1.1,94.601,-49.5,3,4963.6,15945
1.4,93.918,-42.7,3,5228.1,32142
1.4,93.444,-36.1,3,5228.1,30011
-1.1,94.199,-37.5,3,4963.6,32131
1.4,93.444,-36.1,3,5228.1,34387
1.4,94.465,-41.8,3,5228.1,23809
1.1,93.994,-36.4,3,5191.0,23011
-1.1,94.199,-37.5,3,4963.6,21828
-1.8,92.843,-50.0,3,5099.1,10011
1.4,94.465,-41.8,3,5228.1,31759
1.4,93.444,-36.1,3,5228.1,34059
-1.8,92.893,-46.2,3,5099.1,3001
1.1,93.994,-36.4,3,5191.0,16565
1.4,94.465,-41.8,3,5228.1,12698
-1.8,92.893,-46.2,3,5099.1,3295
-1.8,92.893,-46.2,3,5099.1,4854
-1.8,93.075,-47.1,3,5099.1,24721
1.1,93.994,-36.4,3,5191.0,25664
1.1,93.994,-36.4,3,5191.0,18510
1.4,93.918,-42.7,3,5228.1,4563
1.4,94.465,-41.8,3,5228.1,23590
-1.8,93.075,-47.1,3,5099.1,6894
-3.4,92.649,-30.1,3,5017.5,22252
1.4,93.444,-36.1,3,5228.1,31483
1.4,93.918,-42.7,3,5228.1,7979
-2.9,92.469,-33.6,3,5076.2,7172
1.4,93.918,-42.7,3,5228.1,9356
1.4,93.918,-42.7,3,5228.1,32398
-1.8,92.893,-46.2,3,5099.1,11703
-1.8,92.893,-46.2,3,5099.1,22289
1.4,94.465,-41.8,3,5228.1,36899
1.4,93.918,-42.7,3,5228.1,3476
-1.8,92.893,-46.2,3,5099.1,26429
1.4,93.444,-36.1,3,5228.1,39157
-1.8,92.893,-46.2,3,5099.1,38482
1.4,94.465,-41.8,3,5228.1,7598
1.1,93.994,-36.4,3,5191.0,2483
1.4,94.465,-41.8,3,5228.1,11924
-1.8,93.075,-47.1,3,5099.1,21559
1.4,94.465,-41.8,3,5228.1,14109
1.4,93.918,-42.7,3,5228.1,7794
1.4,94.465,-41.8,3,5228.1,28942
1.4,93.444,-36.1,3,5228.1,11507
1.4,93.918,-42.7,3,5228.1,1597
-1.8,92.893,-46.2,3,5099.1,29220
-0.1,93.2,-42.0,3,5195.8,3939
1.4,93.918,-42.7,3,5228.1,34129
-0.1,93.2,-42.0,3,5195.8,6978
1.1,93.994,-36.4,3,5191.0,1648
1.4,93.444,-36.1,3,5228.1,19298
1.4,93.444,-36.1,3,5228.1,21855
-0.1,93.2,-42.0,3,5195.8,37471
-0.1,93.2,-42.0,3,5195.8,22921
1.4,93.444,-36.1,3,5228.1,38219
1.4,93.444,-36.1,3,5228.1,23674
1.4,93.444,-36.1,3,5228.1,24733
-1.7,94.055,-39.8,3,4991.6,21761
-0.1,93.2,-42.0,3,5195.8,30797
-3.4,92.649,-30.1,3,5017.5,36812
-3.4,92.431,-26.9,3,5017.5,6641
-1.8,93.075,-47.1,3,5099.1,3815
-1.8,93.075,-47.1,3,5099.1,27181
1.4,94.465,-41.8,3,5228.1,15876
-1.8,92.893,-46.2,3,5099.1,14329
-0.1,93.2,-42.0,3,5195.8,33256
1.4,93.918,-42.7,3,5228.1,10272
-0.1,93.2,-42.0,3,5195.8,1961
1.4,93.918,-42.7,3,5228.1,3022
1.4,93.918,-42.7,3,5228.1,24460
-1.8,93.075,-47.1,3,5099.1,9051
1.4,94.465,-41.8,3,5228.1,30318
1.4,93.444,-36.1,3,5228.1,26801
-1.8,92.893,-46.2,3,5099.1,36219
-0.1,93.2,-42.0,3,5195.8,33867
-1.8,93.075,-47.1,3,5099.1,6337
-1.8,93.075,-47.1,3,5099.1,10971
1.1,93.994,-36.4,3,5191.0,4839
1.4,93.918,-42.7,3,5228.1,38176
1.4,93.918,-42.7,3,5228.1,14378
1.4,93.444,-36.1,3,5228.1,3028
-1.8,92.893,-46.2,3,5099.1,39926
1.4,93.444,-36.1,3,5228.1,21011
-1.8,92.893,-46.2,3,5099.1,35389
1.4,93.918,-42.7,3,5228.1,24940
1.4,93.918,-42.7,3,5228.1,25320
-1.8,93.075,-47.1,3,5099.1,9091
1.4,93.918,-42.7,3,5228.1,9092
-2.9,92.963,-40.8,3,5076.2,8022
