contact,month,day_of_week,campaign,pdays,previous,poutcome,id
cellular,may,mon,1,999,1,failure,580
telephone,may,wed,2,999,0,nonexistent,10104
cellular,sep,mon,1,999,2,failure,2987
telephone,jul,wed,2,999,0,nonexistent,4480
cellular,nov,wed,1,999,1,failure,30639
telephone,jun,wed,2,999,0,nonexistent,22691
telephone,may,tue,6,999,0,nonexistent,20967
cellular,apr,thu,1,2,1,success,19788
cellular,jul,wed,1,999,0,nonexistent,9422
telephone,jun,mon,2,999,0,nonexistent,37458
telephone,may,tue,1,999,0,nonexistent,16994
cellular,jul,wed,10,999,0,nonexistent,10095
cellular,apr,tue,1,2,1,success,39895
cellular,may,tue,1,999,0,nonexistent,39766
cellular,may,thu,2,999,1,failure,15738
telephone,may,fri,3,999,0,nonexistent,7570
cellular,apr,thu,1,2,1,success,19991
telephone,jun,thu,2,999,0,nonexistent,37538
telephone,jul,thu,3,999,0,nonexistent,15280
cellular,may,mon,1,999,0,nonexistent,36536
telephone,may,fri,1,999,0,nonexistent,18946
telephone,may,tue,3,999,0,nonexistent,16229
cellular,jul,wed,2,999,0,nonexistent,7824
cellular,oct,mon,1,999,0,nonexistent,32109
telephone,may,mon,3,999,0,nonexistent,12659
cellular,aug,mon,3,999,0,nonexistent,17637
cellular,aug,wed,1,999,0,nonexistent,30638
cellular,jun,fri,2,999,1,failure,22696
telephone,may,fri,5,999,0,nonexistent,20211
telephone,may,wed,1,999,0,nonexistent,32079
telephone,may,thu,7,999,0,nonexistent,9195
cellular,aug,mon,2,999,0,nonexistent,27485
cellular,aug,wed,2,999,0,nonexistent,13234
telephone,may,tue,2,999,0,nonexistent,16098
cellular,may,mon,1,999,1,failure,4765
cellular,nov,fri,1,999,0,nonexistent,15889
cellular,apr,thu,2,999,0,nonexistent,22806
cellular,oct,wed,1,999,1,failure,2146
cellular,apr,thu,1,999,0,nonexistent,1078
cellular,may,tue,1,999,0,nonexistent,34480
telephone,may,wed,1,999,0,nonexistent,38243
cellular,jul,tue,3,999,0,nonexistent,15178
cellular,jul,mon,1,999,0,nonexistent,34067
cellular,may,fri,4,999,1,failure,32164
cellular,nov,fri,6,999,0,nonexistent,14691
telephone,may,wed,3,999,0,nonexistent,40061
telephone,may,fri,1,999,0,nonexistent,34143
cellular,may,fri,5,999,0,nonexistent,28654
cellular,aug,wed,3,999,0,nonexistent,31449
telephone,may,thu,2,999,0,nonexistent,39405
telephone,jul,thu,1,999,0,nonexistent,23168
telephone,nov,tue,2,999,0,nonexistent,11273
cellular,mar,mon,6,999,1,failure,16369
telephone,may,mon,5,999,0,nonexistent,31448
cellular,may,mon,1,999,0,nonexistent,40520
telephone,may,wed,4,999,0,nonexistent,13407
telephone,jun,thu,1,999,0,nonexistent,13719
telephone,jun,mon,2,999,0,nonexistent,30239
cellular,jul,thu,1,999,0,nonexistent,29183
cellular,apr,mon,2,999,1,failure,39358
cellular,aug,tue,1,999,0,nonexistent,36365
cellular,jul,mon,1,999,0,nonexistent,13285
cellular,jun,tue,2,999,1,failure,4518
cellular,may,thu,2,999,0,nonexistent,5842
cellular,aug,wed,3,999,0,nonexistent,19377
cellular,jul,thu,3,999,0,nonexistent,31316
cellular,nov,thu,2,999,0,nonexistent,6376
cellular,nov,wed,1,999,1,failure,3186
cellular,nov,wed,2,999,0,nonexistent,37489
telephone,may,wed,1,999,0,nonexistent,19229
cellular,aug,tue,3,999,0,nonexistent,44
cellular,may,tue,10,999,0,nonexistent,9101
cellular,nov,tue,2,999,0,nonexistent,3132
cellular,jul,mon,2,999,0,nonexistent,25734
telephone,may,mon,1,999,0,nonexistent,4347
telephone,may,thu,1,999,0,nonexistent,33019
cellular,may,thu,1,999,0,nonexistent,1337
cellular,mar,fri,1,999,1,failure,35592
cellular,nov,fri,1,3,3,success,16314
cellular,apr,thu,1,999,0,nonexistent,13415
cellular,aug,fri,1,999,0,nonexistent,12029
telephone,may,wed,3,999,0,nonexistent,40488
cellular,jul,thu,1,999,0,nonexistent,38709
cellular,nov,fri,2,999,0,nonexistent,671
telephone,may,fri,6,999,0,nonexistent,38878
cellular,mar,tue,2,999,0,nonexistent,3181
cellular,apr,thu,1,999,1,failure,31100
cellular,nov,wed,2,999,0,nonexistent,14571
telephone,jun,fri,3,999,0,nonexistent,23485
cellular,jul,tue,2,999,0,nonexistent,27262
telephone,may,tue,3,999,0,nonexistent,40245
telephone,may,thu,1,999,0,nonexistent,13716
cellular,may,mon,2,999,0,nonexistent,24592
cellular,oct,fri,1,999,1,failure,15945
cellular,jul,mon,6,999,0,nonexistent,32142
cellular,aug,thu,1,999,0,nonexistent,30011
cellular,sep,thu,2,999,0,nonexistent,32131
cellular,aug,thu,3,999,0,nonexistent,34387
telephone,jun,wed,2,999,0,nonexistent,23809
telephone,may,mon,2,999,0,nonexistent,23011
cellular,sep,tue,1,999,2,failure,21828
cellular,mar,thu,1,999,0,nonexistent,10011
telephone,jun,mon,3,999,0,nonexistent,31759
cellular,aug,tue,1,999,0,nonexistent,34059
cellular,may,mon,2,999,0,nonexistent,3001
telephone,may,fri,1,999,0,nonexistent,16565
telephone,jun,thu,2,999,0,nonexistent,12698
cellular,may,wed,1,999,1,failure,3295
cellular,may,wed,2,999,0,nonexistent,4854
cellular,apr,thu,1,999,0,nonexistent,24721
telephone,may,mon,2,999,0,nonexistent,25664
telephone,may,fri,2,999,0,nonexistent,18510
cellular,jul,tue,3,999,0,nonexistent,4563
telephone,jun,wed,1,999,0,nonexistent,23590
cellular,apr,fri,1,999,0,nonexistent,6894
cellular,nov,fri,2,3,1,success,22252
cellular,aug,mon,3,999,0,nonexistent,31483
cellular,jul,fri,4,999,0,nonexistent,7979
cellular,jul,thu,1,13,1,success,7172
cellular,jul,tue,3,999,0,nonexistent,9356
cellular,jul,tue,1,999,0,nonexistent,32398
cellular,may,thu,1,999,0,nonexistent,11703
cellular,may,fri,6,999,0,nonexistent,22289
telephone,jun,mon,3,999,0,nonexistent,36899
cellular,jul,mon,3,999,0,nonexistent,3476
cellular,may,thu,2,999,1,failure,26429
cellular,aug,tue,2,999,0,nonexistent,39157
cellular,may,fri,4,999,0,nonexistent,38482
telephone,jun,thu,10,999,0,nonexistent,7598
telephone,may,fri,16,999,0,nonexistent,2483
telephone,jun,tue,1,999,0,nonexistent,11924
cellular,apr,thu,1,999,0,nonexistent,21559
telephone,jun,fri,2,999,0,nonexistent,14109
cellular,jul,wed,1,999,0,nonexistent,7794
telephone,jun,fri,12,999,0,nonexistent,28942
cellular,aug,fri,2,999,0,nonexistent,11507
cellular,jul,tue,5,999,0,nonexistent,1597
telephone,may,fri,4,999,0,nonexistent,29220
