age,job,marital,education,default,housing,loan,id
57,technician,married,high.school,no,yes,no,580
49,services,married,high.school,unknown,yes,no,10104
35,admin.,married,high.school,no,no,no,2987
22,services,married,basic.9y,unknown,no,no,4480
30,blue-collar,married,professional.course,no,no,no,30639
42,blue-collar,married,basic.6y,unknown,yes,no,22691
38,admin.,married,university.degree,no,no,no,20967
60,admin.,married,high.school,no,unknown,unknown,19788
44,admin.,single,university.degree,no,yes,no,9422
43,admin.,married,high.school,no,no,no,37458
25,blue-collar,married,basic.9y,no,no,no,16994
26,services,single,high.school,no,yes,no,10095
38,services,divorced,high.school,unknown,yes,no,39895
32,technician,married,basic.9y,no,no,no,39766
33,blue-collar,married,basic.6y,no,yes,yes,15738
30,admin.,divorced,university.degree,no,no,yes,7570
40,self-employed,single,university.degree,unknown,yes,yes,19991
43,technician,married,professional.course,no,no,no,37538
30,blue-collar,single,basic.9y,no,yes,no,15280
39,technician,single,university.degree,no,yes,no,36536
25,services,married,high.school,unknown,no,no,18946
39,blue-collar,single,unknown,unknown,no,no,16229
58,unknown,married,high.school,unknown,no,no,7824
42,management,single,university.degree,no,no,no,32109
54,blue-collar,married,basic.4y,unknown,no,no,12659
59,retired,married,basic.4y,no,no,no,17637
32,admin.,single,university.degree,unknown,yes,yes,30638
26,admin.,single,high.school,no,no,no,22696
34,admin.,single,high.school,no,no,yes,20211
49,blue-collar,married,basic.4y,unknown,no,no,32079
35,technician,single,professional.course,no,no,no,9195
40,technician,married,professional.course,no,yes,no,27485
31,technician,married,university.degree,no,yes,no,13234
36,services,married,high.school,no,no,yes,16098
41,management,divorced,high.school,no,no,no,4765
39,services,divorced,unknown,no,yes,no,15889
47,blue-collar,married,basic.9y,no,yes,no,22806
27,technician,single,university.degree,no,yes,no,2146
35,management,married,university.degree,no,no,no,1078
37,services,single,basic.9y,no,no,no,34480
46,admin.,divorced,university.degree,unknown,no,no,38243
37,blue-collar,married,basic.4y,no,yes,no,15178
39,blue-collar,married,basic.4y,unknown,no,no,34067
31,admin.,single,university.degree,no,yes,yes,32164
56,services,single,high.school,no,yes,no,14691
49,blue-collar,married,basic.9y,unknown,no,yes,40061
41,blue-collar,divorced,basic.6y,no,yes,no,34143
34,entrepreneur,married,university.degree,no,no,no,28654
34,admin.,married,university.degree,no,no,no,31449
49,admin.,single,unknown,unknown,yes,no,39405
38,services,married,high.school,no,yes,no,23168
46,technician,married,professional.course,no,yes,no,11273
27,services,single,university.degree,no,no,no,16369
31,technician,married,professional.course,no,no,no,31448
31,admin.,married,university.degree,no,yes,yes,40520
46,unknown,married,university.degree,no,no,no,13407
53,blue-collar,married,basic.4y,no,no,no,13719
