age,job,marital,education,default,housing,loan,id,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
57,technician,married,high.school,no,yes,no,580,cellular,may,mon,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1
49,services,married,high.school,unknown,yes,no,10104,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
35,admin.,married,high.school,no,no,no,2987,cellular,sep,mon,1,999,2,failure,-1.1,94.199,-37.5,0.882,4963.6
22,services,married,basic.9y,unknown,no,no,4480,telephone,jul,wed,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1
30,blue-collar,married,professional.course,no,no,no,30639,cellular,nov,wed,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8
42,blue-collar,married,basic.6y,unknown,yes,no,22691,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
38,admin.,married,university.degree,no,no,no,20967,telephone,may,tue,6,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1
60,admin.,married,high.school,no,unknown,unknown,19788,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1
44,admin.,single,university.degree,no,yes,no,9422,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1
43,admin.,married,high.school,no,no,no,37458,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1
25,blue-collar,married,basic.9y,no,no,no,16994,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
26,services,single,high.school,no,yes,no,10095,cellular,jul,wed,10,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1
38,services,divorced,high.school,unknown,yes,no,39895,cellular,apr,tue,1,2,1,success,-1.8,93.075,-47.1,1.453,5099.1
32,technician,married,basic.9y,no,no,no,39766,cellular,may,tue,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1
33,blue-collar,married,basic.6y,no,yes,yes,15738,cellular,may,thu,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1
