age,job,marital,education,default,housing,loan,id,contact,month,day_of_week,campaign,pdays,previous,poutcome,Unnamed: 0,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
57,technician,married,high.school,no,yes,no,580,cellular,may,mon,1,999,1,failure,0,-1.8,92.893,-46.2,3,5099.1
49,services,married,high.school,unknown,yes,no,10104,telephone,may,wed,2,999,0,nonexistent,1,1.1,93.994,-36.4,3,5191.0
35,admin.,married,high.school,no,no,no,2987,cellular,sep,mon,1,999,2,failure,2,-1.1,94.199,-37.5,3,4963.6
22,services,married,basic.9y,unknown,no,no,4480,telephone,jul,wed,2,999,0,nonexistent,3,1.4,93.918,-42.7,3,5228.1
30,blue-collar,married,professional.course,no,no,no,30639,cellular,nov,wed,1,999,1,failure,4,-0.1,93.2,-42.0,3,5195.8
42,blue-collar,married,basic.6y,unknown,yes,no,22691,telephone,jun,wed,2,999,0,nonexistent,5,1.4,94.465,-41.8,3,5228.1
38,admin.,married,university.degree,no,no,no,20967,telephone,may,tue,6,999,0,nonexistent,6,-1.8,92.893,-46.2,3,5099.1
60,admin.,married,high.school,no,unknown,unknown,19788,cellular,apr,thu,1,2,1,success,7,-1.8,93.075,-47.1,3,5099.1
44,admin.,single,university.degree,no,yes,no,9422,cellular,jul,wed,1,999,0,nonexistent,8,1.4,93.918,-42.7,3,5228.1
43,admin.,married,high.school,no,no,no,37458,telephone,jun,mon,2,999,0,nonexistent,9,1.4,94.465,-41.8,3,5228.1
25,blue-collar,married,basic.9y,no,no,no,16994,telephone,may,tue,1,999,0,nonexistent,10,1.1,93.994,-36.4,3,5191.0
26,services,single,high.school,no,yes,no,10095,cellular,jul,wed,10,999,0,nonexistent,11,1.4,93.918,-42.7,3,5228.1
38,services,divorced,high.school,unknown,yes,no,39895,cellular,apr,tue,1,2,1,success,12,-1.8,93.075,-47.1,3,5099.1
32,technician,married,basic.9y,no,no,no,39766,cellular,may,tue,1,999,0,nonexistent,13,-1.8,92.893,-46.2,3,5099.1
33,blue-collar,married,basic.6y,no,yes,yes,15738,cellular,may,thu,2,999,1,failure,14,-1.8,92.893,-46.2,3,5099.1
30,admin.,divorced,university.degree,no,no,yes,7570,telephone,may,fri,3,999,0,nonexistent,15,1.1,93.994,-36.4,3,5191.0
40,self-employed,single,university.degree,unknown,yes,yes,19991,cellular,apr,thu,1,2,1,success,16,-1.8,93.075,-47.1,3,5099.1
43,technician,married,professional.course,no,no,no,37538,telephone,jun,thu,2,999,0,nonexistent,17,1.4,94.465,-41.8,3,5228.1
30,blue-collar,single,basic.9y,no,yes,no,15280,telephone,jul,thu,3,999,0,nonexistent,18,1.4,93.918,-42.7,3,5228.1
39,technician,single,university.degree,no,yes,no,36536,cellular,may,mon,1,999,0,nonexistent,19,-1.8,92.893,-46.2,3,5099.1
25,services,married,high.school,unknown,no,no,18946,telephone,may,fri,1,999,0,nonexistent,20,1.1,93.994,-36.4,3,5191.0
39,blue-collar,single,unknown,unknown,no,no,16229,telephone,may,tue,3,999,0,nonexistent,21,1.1,93.994,-36.4,3,5191.0
58,unknown,married,high.school,unknown,no,no,7824,cellular,jul,wed,2,999,0,nonexistent,22,1.4,93.918,-42.7,3,5228.1
42,management,single,university.degree,no,no,no,32109,cellular,oct,mon,1,999,0,nonexistent,23,-3.4,92.431,-26.9,3,5017.5
54,blue-collar,married,basic.4y,unknown,no,no,12659,telephone,may,mon,3,999,0,nonexistent,24,1.1,93.994,-36.4,3,5191.0
59,retired,married,basic.4y,no,no,no,17637,cellular,aug,mon,3,999,0,nonexistent,25,1.4,93.444,-36.1,3,5228.1
32,admin.,single,university.degree,unknown,yes,yes,30638,cellular,aug,wed,1,999,0,nonexistent,26,1.4,93.444,-36.1,3,5228.1
26,admin.,single,high.school,no,no,no,22696,cellular,jun,fri,2,999,1,failure,27,-2.9,92.963,-40.8,3,5076.2
34,admin.,single,high.school,no,no,yes,20211,telephone,may,fri,5,999,0,nonexistent,28,-1.8,92.893,-46.2,3,5099.1
49,blue-collar,married,basic.4y,unknown,no,no,32079,telephone,may,wed,1,999,0,nonexistent,29,1.1,93.994,-36.4,3,5191.0
35,technician,single,professional.course,no,no,no,9195,telephone,may,thu,7,999,0,nonexistent,30,-1.8,92.893,-46.2,3,5099.1
40,technician,married,professional.course,no,yes,no,27485,cellular,aug,mon,2,999,0,nonexistent,31,1.4,93.444,-36.1,3,5228.1
31,technician,married,university.degree,no,yes,no,13234,cellular,aug,wed,2,999,0,nonexistent,32,1.4,93.444,-36.1,3,5228.1
36,services,married,high.school,no,no,yes,16098,telephone,may,tue,2,999,0,nonexistent,33,1.1,93.994,-36.4,3,5191.0
41,management,divorced,high.school,no,no,no,4765,cellular,may,mon,1,999,1,failure,34,-1.8,92.893,-46.2,3,5099.1
39,services,divorced,unknown,no,yes,no,15889,cellular,nov,fri,1,999,0,nonexistent,35,-0.1,93.2,-42.0,3,5195.8
47,blue-collar,married,basic.9y,no,yes,no,22806,cellular,apr,thu,2,999,0,nonexistent,36,-1.8,93.075,-47.1,3,5099.1
27,technician,single,university.degree,no,yes,no,2146,cellular,oct,wed,1,999,1,failure,37,-1.1,94.601,-49.5,3,4963.6
35,management,married,university.degree,no,no,no,1078,cellular,apr,thu,1,999,0,nonexistent,38,-1.8,93.075,-47.1,3,5099.1
37,services,single,basic.9y,no,no,no,34480,cellular,may,tue,1,999,0,nonexistent,39,-1.8,92.893,-46.2,3,5099.1
46,admin.,divorced,university.degree,unknown,no,no,38243,telephone,may,wed,1,999,0,nonexistent,40,1.1,93.994,-36.4,3,5191.0
