age,job,marital,education,default,housing,loan,id,contact,month,day_of_week,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
28,management,single,university.degree,no,yes,no,14168,cellular,jun,thu,1,22,1,-1.7,94.055,-39.8,0.7290000000000001,4991.6
30,admin.,married,basic.9y,no,yes,yes,20617,telephone,may,tue,1,999,0,1.1,93.994,-36.4,4.857,5191.0
37,technician,married,professional.course,no,no,no,600,cellular,apr,fri,2,999,0,-1.8,93.075,-47.1,1.405,5099.1
28,management,married,university.degree,no,no,no,40252,telephone,jun,mon,4,999,0,1.4,94.465,-41.8,4.947,5228.1
32,management,single,university.degree,no,no,no,35499,cellular,jul,mon,6,999,0,1.4,93.918,-42.7,4.962,5228.1
32,admin.,single,university.degree,no,no,no,40678,cellular,jul,fri,2,999,0,1.4,93.918,-42.7,4.963,5228.1
34,admin.,single,high.school,no,no,no,24672,cellular,jun,fri,2,999,0,-2.9,92.963,-40.8,1.268,5076.2
27,technician,single,university.degree,no,yes,no,16511,cellular,may,thu,8,999,0,-1.8,92.893,-46.2,1.266,5099.1
56,management,divorced,university.degree,unknown,no,no,31993,cellular,jul,thu,2,999,0,1.4,93.918,-42.7,4.962,5228.1
41,self-employed,married,university.degree,no,yes,yes,11755,cellular,aug,mon,1,999,0,1.4,93.444,-36.1,4.963,5228.1
48,housemaid,married,basic.4y,unknown,yes,yes,32324,cellular,aug,tue,4,999,0,1.4,93.444,-36.1,4.968,5228.1
50,blue-collar,married,basic.4y,unknown,no,no,28779,telephone,may,fri,1,999,0,1.1,93.994,-36.4,4.864,5191.0
38,technician,single,university.degree,no,yes,yes,34381,cellular,aug,fri,1,999,0,1.4,93.444,-36.1,4.964,5228.1
45,blue-collar,married,basic.9y,no,yes,no,18229,cellular,aug,thu,5,999,0,1.4,93.444,-36.1,4.968,5228.1
39,services,married,high.school,no,yes,no,15331,cellular,may,mon,1,999,1,-1.8,92.893,-46.2,1.2990000000000002,5099.1
33,entrepreneur,married,high.school,no,no,no,4003,telephone,may,mon,4,999,0,1.1,93.994,-36.4,4.857,5191.0
38,blue-collar,married,basic.4y,unknown,no,no,4770,telephone,jun,thu,1,999,0,1.4,94.465,-41.8,4.961,5228.1
35,blue-collar,married,basic.9y,no,no,no,14273,cellular,apr,mon,1,999,1,-1.8,93.075,-47.1,1.405,5099.1
41,services,married,basic.9y,no,yes,yes,18246,telephone,may,thu,1,999,0,1.1,93.994,-36.4,4.86,5191.0
75,retired,married,basic.4y,no,no,no,39606,cellular,oct,wed,2,999,0,-3.4,92.431,-26.9,0.7240000000000001,5017.5
35,technician,married,professional.course,no,no,no,2638,telephone,jun,thu,1,999,0,1.4,94.465,-41.8,4.961,5228.1
38,entrepreneur,married,professional.course,no,yes,yes,9985,cellular,apr,mon,2,999,1,-1.8,93.075,-47.1,1.466,5099.1
35,blue-collar,single,basic.9y,no,yes,no,29916,cellular,jul,mon,3,999,0,1.4,93.918,-42.7,4.962,5228.1
43,blue-collar,divorced,basic.9y,no,no,no,31915,cellular,jul,tue,1,999,0,1.4,93.918,-42.7,4.962,5228.1
