emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,id
-1.7,94.055,-39.8,0.7290000000000001,4991.6,14168
1.1,93.994,-36.4,4.857,5191.0,20617
-1.8,93.075,-47.1,1.405,5099.1,600
1.4,94.465,-41.8,4.947,5228.1,40252
1.4,93.91799999999999,-42.7,4.962,5228.1,35499
1.4,93.91799999999999,-42.7,4.963,5228.1,40678
-2.9,92.963,-40.8,1.268,5076.2,24672
-1.8,92.89299999999999,-46.2,1.266,5099.1,16511
1.4,93.91799999999999,-42.7,4.962,5228.1,31993
1.4,93.444,-36.1,4.963,5228.1,11755
1.4,93.444,-36.1,4.968,5228.1,32324
1.1,93.994,-36.4,4.864,5191.0,28779
1.4,93.444,-36.1,4.9639999999999995,5228.1,34381
1.4,93.444,-36.1,4.968,5228.1,18229
-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,15331
1.1,93.994,-36.4,4.857,5191.0,4003
1.4,94.465,-41.8,4.961,5228.1,4770
-1.8,93.075,-47.1,1.405,5099.1,14273
1.1,93.994,-36.4,4.86,5191.0,18246
-3.4,92.431,-26.9,0.7240000000000001,5017.5,39606
1.4,94.465,-41.8,4.961,5228.1,2638
-1.8,93.075,-47.1,1.466,5099.1,9985
1.4,93.91799999999999,-42.7,4.962,5228.1,29916
1.4,93.91799999999999,-42.7,4.962,5228.1,31915
-1.8,92.89299999999999,-46.2,1.354,5099.1,21700
1.1,93.994,-36.4,4.864,5191.0,8270
-3.4,92.37899999999999,-29.8,0.741,5017.5,30415
1.4,93.91799999999999,-42.7,4.962,5228.1,18952
1.4,93.91799999999999,-42.7,4.959,5228.1,36369
1.4,93.91799999999999,-42.7,4.962,5228.1,33188
1.4,93.91799999999999,-42.7,4.96,5228.1,10189
1.4,94.465,-41.8,4.96,5228.1,27700
1.1,93.994,-36.4,4.857,5191.0,12385
1.4,93.444,-36.1,4.963,5228.1,37362
-0.1,93.2,-42.0,4.0760000000000005,5195.8,22952
1.4,93.444,-36.1,4.966,5228.1,17641
-1.8,92.89299999999999,-46.2,1.264,5099.1,30633
-1.8,93.075,-47.1,1.453,5099.1,10666
-1.8,93.075,-47.1,1.435,5099.1,23347
-1.8,92.89299999999999,-46.2,1.291,5099.1,14374
-1.8,92.89299999999999,-46.2,1.281,5099.1,32695
-1.7,94.027,-38.3,0.904,4991.6,2398
-0.1,93.2,-42.0,4.021,5195.8,23023
1.1,93.994,-36.4,4.857,5191.0,5766
-1.7,94.055,-39.8,0.748,4991.6,22685
-1.8,93.075,-47.1,1.405,5099.1,13741
-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,825
-1.8,92.89299999999999,-46.2,1.327,5099.1,166
1.4,93.91799999999999,-42.7,4.962,5228.1,23703
1.4,93.444,-36.1,4.9639999999999995,5228.1,1090
1.1,93.994,-36.4,4.857,5191.0,10107
1.4,94.465,-41.8,4.96,5228.1,28968
1.4,93.91799999999999,-42.7,4.961,5228.1,1880
1.4,93.444,-36.1,4.9639999999999995,5228.1,22599
-1.8,92.89299999999999,-46.2,1.344,5099.1,18286
-1.8,92.89299999999999,-46.2,1.281,5099.1,16034
1.1,93.994,-36.4,4.857,5191.0,6022
1.4,94.465,-41.8,4.8660000000000005,5228.1,767
