contact,month,day_of_week,campaign,pdays,previous,id
cellular,jun,thu,1,22,1,14168
telephone,may,tue,1,999,0,20617
cellular,apr,fri,2,999,0,600
telephone,jun,mon,4,999,0,40252
cellular,jul,mon,6,999,0,35499
cellular,jul,fri,2,999,0,40678
cellular,jun,fri,2,999,0,24672
cellular,may,thu,8,999,0,16511
cellular,jul,thu,2,999,0,31993
cellular,aug,mon,1,999,0,11755
cellular,aug,tue,4,999,0,32324
telephone,may,fri,1,999,0,28779
cellular,aug,fri,1,999,0,34381
cellular,aug,thu,5,999,0,18229
cellular,may,mon,1,999,1,15331
telephone,may,mon,4,999,0,4003
telephone,jun,thu,1,999,0,4770
cellular,apr,mon,1,999,1,14273
telephone,may,thu,1,999,0,18246
cellular,oct,wed,2,999,0,39606
telephone,jun,thu,1,999,0,2638
cellular,apr,mon,2,999,1,9985
cellular,jul,mon,3,999,0,29916
cellular,jul,tue,1,999,0,31915
cellular,may,mon,2,3,1,21700
telephone,may,fri,3,999,0,8270
cellular,sep,fri,1,999,0,30415
cellular,jul,wed,1,999,0,18952
telephone,jul,fri,1,999,0,36369
cellular,jul,thu,14,999,0,33188
cellular,jul,mon,1,999,0,10189
telephone,jun,mon,4,999,0,27700
telephone,may,wed,4,999,0,12385
cellular,aug,fri,9,999,0,37362
cellular,nov,thu,1,999,0,22952
cellular,aug,tue,1,999,0,17641
cellular,may,mon,1,999,1,30633
cellular,apr,tue,5,999,0,10666
cellular,apr,thu,1,999,1,23347
cellular,may,tue,1,999,0,14374
cellular,may,wed,1,999,1,32695
cellular,aug,tue,1,6,3,2398
telephone,nov,fri,1,999,0,23023
telephone,may,wed,1,999,0,5766
cellular,jun,fri,1,999,1,22685
cellular,apr,fri,1,999,1,13741
cellular,may,mon,1,9,1,825
cellular,may,thu,1,999,0,166
cellular,jul,wed,1,999,0,23703
cellular,aug,wed,3,999,0,1090
telephone,may,mon,2,999,0,10107
telephone,jun,mon,3,999,0,28968
cellular,jul,tue,1,999,0,1880
cellular,aug,wed,7,999,0,22599
cellular,may,tue,1,999,0,18286
cellular,may,wed,4,999,1,16034
telephone,may,tue,1,999,0,6022
telephone,jun,thu,1,999,0,767
cellular,nov,tue,1,999,0,13558
cellular,jul,wed,1,999,0,17691
cellular,may,fri,1,999,0,16804
cellular,may,fri,1,999,0,5651
telephone,may,wed,1,999,0,1924
cellular,mar,fri,2,999,0,29695
cellular,aug,wed,2,999,0,7552
cellular,aug,thu,3,999,0,15769
cellular,jul,fri,4,999,0,24954
telephone,jun,mon,4,999,0,7609
cellular,aug,tue,1,999,0,1808
telephone,jul,tue,11,999,0,21904
cellular,nov,wed,1,999,0,26883
telephone,jun,wed,1,999,0,36143
cellular,may,tue,4,1,2,40062
cellular,aug,fri,1,999,0,29685
cellular,aug,thu,4,999,0,8284
telephone,may,mon,3,999,0,31909
cellular,may,mon,1,3,2,2045
cellular,aug,wed,1,999,0,7820
cellular,jul,fri,2,999,0,10607
telephone,jun,tue,2,999,0,13587
cellular,aug,wed,2,999,0,35865
telephone,jun,tue,19,999,0,10724
telephone,may,tue,4,999,0,12950
cellular,nov,tue,1,999,0,20555
telephone,jun,fri,7,999,0,24089
cellular,nov,fri,4,999,1,1074
cellular,apr,thu,2,999,0,1084
cellular,jul,mon,4,999,0,5012
cellular,aug,mon,2,999,0,7027
cellular,apr,tue,1,999,0,18833
telephone,jun,thu,3,999,0,22647
cellular,jul,mon,9,999,0,34119
telephone,may,mon,1,999,0,25171
cellular,may,tue,2,999,0,7814
cellular,apr,fri,2,999,0,34401
cellular,nov,tue,1,999,1,40816
cellular,jul,wed,1,999,0,23773
cellular,may,thu,1,999,1,15102
telephone,may,tue,2,999,0,3122
cellular,aug,wed,1,999,0,28917
telephone,may,fri,2,999,0,28349
telephone,may,thu,2,999,0,31321
cellular,jul,wed,3,999,0,9419
cellular,apr,thu,1,999,1,6884
cellular,aug,wed,1,999,0,12406
cellular,may,mon,1,999,0,20324
cellular,nov,thu,3,999,0,39037
cellular,aug,tue,2,999,0,15227
telephone,may,tue,10,999,0,3110
cellular,jul,mon,4,999,0,3267
telephone,may,tue,2,999,0,26411
cellular,apr,thu,2,2,1,4803
cellular,jul,fri,3,999,0,5695
telephone,may,thu,1,999,0,37549
cellular,apr,mon,3,999,0,20195
cellular,nov,fri,2,3,1,19902
cellular,nov,fri,1,999,0,21039
telephone,nov,thu,4,999,1,31913
telephone,may,tue,2,999,0,25177
telephone,may,tue,2,999,0,15037
cellular,jul,wed,1,999,0,24626
telephone,may,wed,1,999,0,1324
telephone,may,tue,5,999,1,837
cellular,nov,thu,2,999,0,38343
telephone,may,thu,1,999,0,14229
cellular,aug,tue,3,999,0,31207
cellular,aug,tue,2,999,0,2779
cellular,nov,thu,6,999,0,16973
telephone,may,mon,1,999,0,40430
telephone,may,fri,3,999,0,13462
telephone,jul,tue,5,999,0,10093
telephone,may,tue,3,999,0,7796
cellular,jul,mon,2,999,0,23981
telephone,may,thu,3,999,0,15398
cellular,jul,thu,3,999,0,5876
cellular,aug,tue,2,999,0,6437
cellular,aug,mon,3,999,0,21010
cellular,jul,tue,19,999,0,2118
cellular,jul,thu,4,999,0,13061
telephone,may,fri,2,999,0,10878
telephone,may,mon,2,999,0,23761
telephone,jun,wed,1,999,0,29663
cellular,may,fri,1,999,1,29987
cellular,aug,tue,1,999,0,5501
cellular,jul,thu,1,999,0,30524
cellular,nov,fri,1,999,1,13666
cellular,jul,mon,3,999,0,26791
cellular,aug,thu,4,999,0,7017
