age,job,marital,education,default,housing,loan,id
28,management,single,university.degree,no,yes,no,14168
30,admin.,married,basic.9y,no,yes,yes,20617
37,technician,married,professional.course,no,no,no,600
28,management,married,university.degree,no,no,no,40252
32,management,single,university.degree,no,no,no,35499
32,admin.,single,university.degree,no,no,no,40678
34,admin.,single,high.school,no,no,no,24672
27,technician,single,university.degree,no,yes,no,16511
56,management,divorced,university.degree,unknown,no,no,31993
41,self-employed,married,university.degree,no,yes,yes,11755
48,housemaid,married,basic.4y,unknown,yes,yes,32324
50,blue-collar,married,basic.4y,unknown,no,no,28779
38,technician,single,university.degree,no,yes,yes,34381
45,blue-collar,married,basic.9y,no,yes,no,18229
39,services,married,high.school,no,yes,no,15331
33,entrepreneur,married,high.school,no,no,no,4003
38,blue-collar,married,basic.4y,unknown,no,no,4770
35,blue-collar,married,basic.9y,no,no,no,14273
41,services,married,basic.9y,no,yes,yes,18246
75,retired,married,basic.4y,no,no,no,39606
35,technician,married,professional.course,no,no,no,2638
38,entrepreneur,married,professional.course,no,yes,yes,9985
35,blue-collar,single,basic.9y,no,yes,no,29916
43,blue-collar,divorced,basic.9y,no,no,no,31915
35,admin.,married,professional.course,no,yes,no,21700
35,technician,married,basic.6y,no,no,no,8270
68,retired,single,university.degree,no,yes,no,30415
37,blue-collar,married,basic.6y,unknown,no,yes,18952
30,admin.,single,high.school,no,yes,no,36369
35,retired,married,basic.4y,unknown,no,no,33188
27,admin.,single,university.degree,no,no,no,10189
34,entrepreneur,single,professional.course,no,yes,no,27700
52,entrepreneur,married,basic.9y,unknown,no,no,12385
43,admin.,married,university.degree,no,no,yes,37362
31,technician,single,professional.course,no,yes,no,22952
35,technician,married,high.school,unknown,no,yes,17641
34,technician,single,professional.course,no,no,yes,30633
56,management,married,university.degree,no,no,no,10666
33,services,married,high.school,no,yes,no,23347
36,entrepreneur,single,university.degree,no,no,no,14374
31,services,single,high.school,no,yes,no,32695
65,retired,married,professional.course,no,yes,no,2398
30,admin.,single,university.degree,no,yes,yes,23023
39,admin.,married,professional.course,no,yes,yes,5766
30,technician,married,university.degree,no,no,yes,22685
36,admin.,single,professional.course,no,no,no,13741
50,blue-collar,married,basic.4y,no,no,no,825
30,blue-collar,single,high.school,unknown,yes,no,166
32,blue-collar,married,basic.4y,unknown,yes,no,23703
55,services,married,unknown,unknown,yes,no,1090
47,blue-collar,single,basic.4y,no,yes,no,10107
35,blue-collar,divorced,basic.9y,no,unknown,unknown,28968
58,retired,married,basic.4y,no,no,no,1880
47,admin.,married,high.school,unknown,yes,no,22599
43,blue-collar,married,basic.9y,unknown,yes,no,18286
34,admin.,married,university.degree,no,no,yes,16034
42,services,married,professional.course,no,yes,no,6022
52,management,divorced,university.degree,no,no,no,767
52,technician,married,high.school,no,yes,no,13558
36,blue-collar,married,basic.9y,no,no,yes,17691
36,services,married,high.school,unknown,no,no,16804
38,blue-collar,single,basic.6y,unknown,no,no,5651
55,admin.,single,university.degree,unknown,yes,yes,1924
41,technician,married,professional.course,no,no,no,29695
31,technician,married,professional.course,unknown,yes,no,7552
37,admin.,married,university.degree,no,no,yes,15769
31,blue-collar,single,basic.9y,unknown,yes,no,24954
50,housemaid,single,unknown,no,no,no,7609
32,admin.,single,university.degree,no,yes,no,1808
48,technician,married,professional.course,no,yes,no,21904
32,blue-collar,married,high.school,no,yes,no,26883
52,technician,married,high.school,no,yes,no,36143
32,services,married,high.school,no,no,no,40062
24,student,single,high.school,no,yes,no,29685
45,services,married,professional.course,no,yes,yes,8284
53,admin.,married,basic.9y,no,no,no,31909
41,technician,married,unknown,no,yes,yes,2045
33,admin.,married,university.degree,no,no,no,7820
35,blue-collar,married,basic.6y,no,yes,no,10607
33,admin.,single,university.degree,no,yes,no,13587
31,technician,married,university.degree,no,yes,no,35865
57,admin.,divorced,unknown,unknown,no,no,10724
52,self-employed,married,basic.9y,unknown,yes,no,12950
55,entrepreneur,married,university.degree,unknown,no,no,20555
43,services,married,high.school,no,no,no,24089
30,student,single,university.degree,no,no,no,1074
32,admin.,single,university.degree,no,yes,no,1084
39,technician,single,university.degree,unknown,yes,no,5012
41,self-employed,married,university.degree,no,yes,no,7027
46,technician,married,basic.6y,no,no,no,18833
32,technician,single,high.school,no,yes,no,22647
42,housemaid,divorced,basic.4y,no,yes,no,34119
30,blue-collar,single,basic.9y,unknown,yes,yes,25171
21,student,single,high.school,no,yes,no,7814
38,services,married,high.school,no,no,no,34401
39,unemployed,married,basic.9y,unknown,no,yes,40816
57,blue-collar,married,basic.6y,no,yes,no,23773
24,blue-collar,single,basic.9y,no,no,yes,15102
51,blue-collar,married,professional.course,no,no,yes,3122
37,technician,married,professional.course,no,yes,no,28917
