contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,id
cellular,aug,mon,92,2,999,0,nonexistent,35704
telephone,may,wed,19,8,999,1,failure,16354
cellular,jul,wed,131,4,999,0,nonexistent,10501
cellular,jul,fri,236,8,999,0,nonexistent,26419
telephone,jun,fri,39,8,999,0,nonexistent,15197
cellular,aug,thu,90,2,999,0,nonexistent,40154
telephone,jun,thu,77,1,999,0,nonexistent,20899
cellular,apr,fri,185,2,999,0,nonexistent,3
telephone,may,tue,217,4,999,0,nonexistent,30607
cellular,may,mon,239,2,11,1,success,16762
telephone,jun,mon,354,1,999,0,nonexistent,11592
cellular,jul,wed,149,1,999,0,nonexistent,30301
cellular,jul,tue,136,2,999,0,nonexistent,27778
cellular,apr,tue,108,6,999,1,failure,29245
cellular,aug,tue,711,3,999,0,nonexistent,22410
cellular,aug,wed,28,10,999,0,nonexistent,3780
telephone,may,fri,280,1,999,0,nonexistent,40619
cellular,jul,mon,229,3,999,0,nonexistent,34665
telephone,jun,wed,264,2,999,0,nonexistent,18564
telephone,may,wed,232,2,999,0,nonexistent,15937
cellular,apr,tue,1063,1,999,0,nonexistent,14933
cellular,mar,mon,427,1,6,2,success,35441
cellular,aug,wed,311,1,999,0,nonexistent,27652
cellular,oct,thu,522,2,999,0,nonexistent,23828
cellular,jul,tue,250,2,999,0,nonexistent,946
cellular,apr,wed,332,2,999,0,nonexistent,21050
cellular,may,tue,135,2,999,0,nonexistent,4931
cellular,aug,fri,1028,1,999,0,nonexistent,11133
cellular,sep,thu,155,1,999,1,failure,10718
telephone,may,mon,16,1,999,0,nonexistent,4176
cellular,may,wed,53,1,999,0,nonexistent,36162
cellular,aug,tue,214,3,999,0,nonexistent,40025
cellular,aug,tue,139,4,999,0,nonexistent,26422
cellular,may,fri,196,2,999,0,nonexistent,31479
cellular,may,tue,76,1,999,2,failure,29583
cellular,jul,thu,50,9,999,0,nonexistent,34201
cellular,jul,thu,200,4,999,1,failure,33864
telephone,may,wed,133,2,999,0,nonexistent,12926
cellular,aug,tue,159,1,999,0,nonexistent,9946
cellular,aug,tue,185,1,999,0,nonexistent,30705
cellular,apr,thu,114,1,999,1,failure,23455
cellular,may,thu,638,1,6,1,success,9395
cellular,mar,mon,138,8,999,0,nonexistent,37043
telephone,may,tue,349,1,999,0,nonexistent,6598
cellular,jul,wed,166,1,999,0,nonexistent,20514
telephone,jun,mon,71,2,999,0,nonexistent,22798
telephone,may,thu,162,2,999,0,nonexistent,39751
cellular,aug,wed,194,2,999,0,nonexistent,9299
telephone,jul,tue,186,9,999,0,nonexistent,11828
telephone,may,fri,407,1,999,0,nonexistent,34328
cellular,may,fri,159,1,999,1,failure,10137
telephone,may,fri,448,1,999,0,nonexistent,37726
cellular,aug,fri,77,9,999,0,nonexistent,32770
cellular,aug,mon,445,2,999,0,nonexistent,7840
cellular,jul,mon,240,2,999,0,nonexistent,3428
telephone,may,thu,139,2,999,0,nonexistent,36059
cellular,may,thu,107,1,999,1,failure,8724
cellular,may,wed,136,2,999,0,nonexistent,1389
telephone,may,fri,323,2,999,0,nonexistent,22859
telephone,may,thu,66,2,999,0,nonexistent,39353
cellular,jul,mon,51,7,999,0,nonexistent,40055
cellular,jul,wed,232,1,999,0,nonexistent,21713
cellular,jul,thu,81,1,999,0,nonexistent,6403
cellular,nov,wed,210,1,999,0,nonexistent,5450
cellular,jul,mon,301,6,999,0,nonexistent,39648
cellular,apr,thu,206,3,999,0,nonexistent,23724
telephone,may,fri,281,27,999,0,nonexistent,3426
cellular,aug,tue,264,1,999,0,nonexistent,34060
cellular,nov,wed,228,1,999,0,nonexistent,22152
cellular,aug,thu,239,3,999,0,nonexistent,5064
cellular,may,tue,83,9,999,1,failure,26615
cellular,aug,wed,254,2,999,0,nonexistent,10994
cellular,aug,tue,231,4,999,0,nonexistent,15745
telephone,may,tue,144,7,999,0,nonexistent,21160
cellular,may,tue,416,4,999,0,nonexistent,40366
telephone,jun,tue,52,1,999,1,failure,39764
telephone,may,mon,327,1,999,0,nonexistent,11840
cellular,apr,wed,98,1,999,0,nonexistent,30822
telephone,may,thu,137,2,999,0,nonexistent,33519
cellular,jul,thu,140,3,999,0,nonexistent,38212
cellular,aug,tue,459,4,999,0,nonexistent,22689
cellular,may,wed,110,2,999,1,failure,19852
cellular,aug,wed,95,1,999,0,nonexistent,14640
telephone,may,fri,38,3,999,0,nonexistent,17092
cellular,nov,mon,48,1,999,0,nonexistent,10399
cellular,nov,fri,72,4,999,0,nonexistent,40477
cellular,aug,wed,89,1,999,0,nonexistent,19750
telephone,jul,thu,447,4,999,0,nonexistent,11349
cellular,jul,thu,219,1,999,0,nonexistent,33793
telephone,may,fri,201,2,999,0,nonexistent,21472
cellular,aug,wed,588,3,999,0,nonexistent,38246
cellular,oct,thu,214,1,999,0,nonexistent,20169
telephone,jun,fri,988,4,999,0,nonexistent,14932
cellular,nov,fri,101,3,999,0,nonexistent,30946
telephone,may,tue,723,2,999,0,nonexistent,15948
telephone,jun,mon,256,1,999,0,nonexistent,36037
cellular,aug,fri,557,5,999,0,nonexistent,3670
cellular,aug,wed,203,2,999,0,nonexistent,7741
telephone,may,thu,55,2,999,0,nonexistent,39325
cellular,jul,thu,346,2,999,0,nonexistent,245
cellular,jul,tue,160,2,999,0,nonexistent,1859
cellular,aug,tue,196,1,999,0,nonexistent,3763
cellular,aug,mon,89,2,999,0,nonexistent,31788
telephone,jun,wed,180,4,999,0,nonexistent,25214
cellular,nov,fri,350,5,3,1,success,30308
cellular,may,mon,216,1,999,0,nonexistent,12049
telephone,jun,wed,105,1,999,0,nonexistent,39678
cellular,apr,fri,68,3,999,0,nonexistent,16064
telephone,may,fri,104,1,999,0,nonexistent,37289
cellular,nov,wed,113,1,999,1,failure,8052
cellular,may,tue,23,1,999,1,failure,2603
cellular,may,wed,8,7,999,0,nonexistent,5742
cellular,nov,thu,199,1,999,0,nonexistent,20697
cellular,nov,tue,139,2,999,0,nonexistent,37024
telephone,jun,wed,328,4,999,0,nonexistent,20053
telephone,jun,mon,168,1,999,0,nonexistent,27630
telephone,may,wed,27,2,999,0,nonexistent,22650
telephone,apr,fri,26,1,999,1,failure,34634
cellular,may,thu,146,3,999,0,nonexistent,26654
cellular,nov,thu,106,2,999,1,failure,791
cellular,mar,tue,74,1,999,0,nonexistent,33012
cellular,aug,fri,197,5,999,0,nonexistent,36123
telephone,may,wed,63,1,999,0,nonexistent,11731
cellular,aug,tue,276,1,999,0,nonexistent,9005
telephone,may,wed,199,1,999,0,nonexistent,10926
cellular,mar,thu,709,2,999,0,nonexistent,4549
