age,job,marital,education,default,housing,loan,id,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
38,admin.,divorced,university.degree,no,yes,no,35704,cellular,aug,mon,92,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
33,services,single,basic.6y,unknown,yes,yes,16354,telephone,may,wed,19,8,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1
40,blue-collar,married,basic.4y,unknown,yes,no,10501,cellular,jul,wed,131,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
56,blue-collar,married,basic.9y,unknown,no,no,26419,cellular,jul,fri,236,8,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
56,technician,divorced,basic.9y,no,yes,no,15197,telephone,jun,fri,39,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
60,self-employed,divorced,university.degree,no,no,no,40154,cellular,aug,thu,90,2,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.883,5076.2
50,admin.,married,university.degree,no,no,no,20899,telephone,jun,thu,77,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
39,services,married,high.school,no,no,no,3,cellular,apr,fri,185,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
58,unemployed,married,basic.4y,unknown,no,no,30607,telephone,may,tue,217,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
34,blue-collar,married,basic.9y,no,yes,no,16762,cellular,may,mon,239,2,11,1,success,-1.8,92.89299999999999,-46.2,1.244,5099.1
55,blue-collar,married,professional.course,unknown,yes,yes,11592,telephone,jun,mon,354,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
30,services,married,high.school,unknown,yes,no,30301,cellular,jul,wed,149,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1
32,services,single,unknown,unknown,yes,yes,27778,cellular,jul,tue,136,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
36,admin.,married,university.degree,no,no,no,29245,cellular,apr,tue,108,6,999,1,failure,-1.8,93.075,-47.1,1.423,5099.1
32,admin.,married,high.school,no,yes,yes,22410,cellular,aug,tue,711,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
54,admin.,married,high.school,no,no,no,3780,cellular,aug,wed,28,10,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
28,admin.,single,university.degree,no,yes,no,40619,telephone,may,fri,280,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
44,blue-collar,single,basic.6y,unknown,yes,no,34665,cellular,jul,mon,229,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
25,admin.,married,high.school,no,yes,no,18564,telephone,jun,wed,264,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
39,admin.,married,high.school,unknown,yes,no,15937,telephone,may,wed,232,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
45,services,married,high.school,no,yes,no,14933,cellular,apr,tue,1063,1,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1
33,admin.,single,university.degree,no,no,no,35441,cellular,mar,mon,427,1,6,2,success,-1.8,93.369,-34.8,0.6459999999999999,5008.7
49,housemaid,married,basic.4y,unknown,yes,no,27652,cellular,aug,wed,311,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
28,admin.,single,university.degree,no,yes,no,23828,cellular,oct,thu,522,2,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5
26,blue-collar,married,basic.9y,unknown,no,no,946,cellular,jul,tue,250,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
56,blue-collar,married,basic.9y,unknown,yes,no,21050,cellular,apr,wed,332,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1
28,blue-collar,married,high.school,no,unknown,unknown,4931,cellular,may,tue,135,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1
39,technician,married,university.degree,unknown,no,no,11133,cellular,aug,fri,1028,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
37,admin.,married,high.school,no,yes,no,10718,cellular,sep,thu,155,1,999,1,failure,-1.1,94.199,-37.5,0.878,4963.6
41,admin.,married,high.school,no,no,yes,4176,telephone,may,mon,16,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
32,services,married,basic.9y,no,yes,no,36162,cellular,may,wed,53,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1
