age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,id
45,services,divorced,high.school,no,no,no,telephone,may,fri,136,8,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,14286
41,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,201,6,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,22110
37,housemaid,married,university.degree,no,yes,no,telephone,nov,wed,129,1,999,0,nonexistent,-0.1,93.2,-42.0,4.2860000000000005,5195.8,0,31123
58,management,single,university.degree,no,no,yes,cellular,may,fri,131,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,21491
38,technician,married,professional.course,no,no,no,cellular,aug,mon,923,1,999,1,failure,-2.9,92.20100000000001,-31.4,0.884,5076.2,1,30064
34,admin.,married,university.degree,no,no,yes,cellular,jul,tue,119,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0,40921
59,retired,single,high.school,no,yes,no,cellular,jul,thu,143,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,0,676
58,admin.,married,university.degree,no,no,no,cellular,aug,wed,460,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,27530
30,blue-collar,single,basic.4y,unknown,no,no,telephone,may,fri,130,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,13851
37,entrepreneur,married,basic.9y,no,yes,no,telephone,jun,mon,541,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,31077
33,admin.,married,high.school,unknown,yes,no,cellular,jul,tue,88,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,0,31715
30,admin.,divorced,high.school,no,yes,no,cellular,nov,thu,48,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,24400
53,technician,married,high.school,no,yes,no,cellular,aug,tue,105,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,26545
53,blue-collar,married,basic.9y,no,no,no,cellular,nov,wed,137,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,16104
34,admin.,married,university.degree,no,yes,yes,cellular,nov,fri,85,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,24885
38,blue-collar,married,basic.4y,no,no,no,cellular,apr,tue,239,1,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,0,26047
42,retired,divorced,illiterate,no,no,no,cellular,aug,wed,146,4,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8340000000000001,5076.2,0,33905
43,management,married,university.degree,no,yes,no,cellular,may,wed,192,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,33991
34,management,married,university.degree,no,yes,no,telephone,may,thu,118,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,3605
37,technician,married,professional.course,no,no,no,cellular,apr,thu,277,1,18,1,success,-1.8,93.749,-34.6,0.659,5008.7,1,24768
34,services,married,high.school,unknown,no,no,telephone,jun,fri,453,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,18754
35,admin.,single,university.degree,no,yes,no,telephone,jun,fri,358,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,32803
32,technician,single,high.school,no,no,no,cellular,aug,mon,111,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,17381
28,management,single,university.degree,no,yes,no,cellular,sep,tue,368,1,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.8190000000000001,5017.5,0,34453
46,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,1091,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,1,9447
31,technician,married,university.degree,no,no,no,cellular,aug,wed,195,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,3162
41,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,fri,326,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,40382
36,blue-collar,married,unknown,no,no,no,cellular,may,thu,156,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,40428
31,technician,divorced,high.school,no,no,no,cellular,aug,mon,50,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,4993
36,blue-collar,divorced,basic.9y,no,no,no,cellular,may,wed,129,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,39213
56,admin.,married,high.school,no,no,no,telephone,may,tue,242,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,8741
42,blue-collar,divorced,basic.4y,no,no,no,telephone,may,wed,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,34213
38,admin.,married,university.degree,no,yes,no,cellular,aug,tue,35,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,18514
36,services,married,high.school,no,no,no,telephone,may,tue,158,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,9754
49,admin.,single,university.degree,no,no,no,cellular,oct,thu,73,1,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,0,8528
49,technician,married,professional.course,no,yes,no,cellular,jul,fri,579,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,0,7595
37,self-employed,single,basic.4y,no,yes,no,cellular,may,mon,180,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,20937
34,admin.,divorced,university.degree,no,no,no,cellular,nov,fri,161,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,15428
49,services,single,high.school,no,yes,yes,cellular,jul,thu,205,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,0,17755
33,services,single,high.school,no,unknown,unknown,telephone,may,fri,271,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,21422
39,blue-collar,married,basic.4y,no,no,no,telephone,jul,tue,204,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,0,13568
62,retired,married,university.degree,no,yes,no,cellular,sep,wed,105,3,999,1,failure,-3.4,92.37899999999999,-29.8,0.7809999999999999,5017.5,0,2943
36,blue-collar,single,basic.4y,no,yes,no,telephone,may,mon,143,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,34899
43,admin.,married,university.degree,no,yes,no,telephone,may,tue,775,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,28752
53,services,married,high.school,unknown,no,no,telephone,may,thu,2260,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,40458
47,technician,married,professional.course,no,yes,no,telephone,may,thu,69,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,490
33,technician,married,professional.course,no,yes,no,cellular,aug,tue,211,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,29150
59,admin.,married,high.school,no,yes,no,cellular,aug,wed,1019,2,2,1,success,-2.9,92.20100000000001,-31.4,0.884,5076.2,1,13896
30,technician,married,high.school,no,yes,no,cellular,aug,wed,143,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,1363
34,technician,single,university.degree,no,yes,yes,cellular,aug,wed,455,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,1,20322
38,technician,married,professional.course,no,yes,no,cellular,mar,thu,182,1,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.757,5099.1,1,21850
33,technician,unknown,professional.course,unknown,no,no,telephone,may,fri,112,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,6482
36,blue-collar,single,high.school,no,yes,no,cellular,jul,thu,8,24,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,0,38347
28,technician,single,professional.course,no,no,yes,telephone,jun,tue,63,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,35314
26,services,single,high.school,no,no,no,telephone,may,fri,177,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,3007
45,blue-collar,married,unknown,no,yes,yes,cellular,apr,thu,614,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,0,25394
37,entrepreneur,married,university.degree,no,no,no,cellular,nov,wed,184,4,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,13275
