age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,id
57,technician,married,high.school,no,yes,no,cellular,may,mon,758,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,580
49,services,married,high.school,unknown,yes,no,telephone,may,wed,191,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,10104
35,admin.,married,high.school,no,no,no,cellular,sep,mon,415,1,999,2,failure,-1.1,94.199,-37.5,0.882,4963.6,1,2987
22,services,married,basic.9y,unknown,no,no,telephone,jul,wed,42,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0,4480
30,blue-collar,married,professional.course,no,no,no,cellular,nov,wed,332,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,0,30639
42,blue-collar,married,basic.6y,unknown,yes,no,telephone,jun,wed,117,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,22691
38,admin.,married,university.degree,no,no,no,telephone,may,tue,11,6,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,20967
60,admin.,married,high.school,no,unknown,unknown,cellular,apr,thu,208,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1,19788
44,admin.,single,university.degree,no,yes,no,cellular,jul,wed,153,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0,9422
43,admin.,married,high.school,no,no,no,telephone,jun,mon,193,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0,37458
25,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,90,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,16994
26,services,single,high.school,no,yes,no,cellular,jul,wed,75,10,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0,10095
38,services,divorced,high.school,unknown,yes,no,cellular,apr,tue,620,1,2,1,success,-1.8,93.075,-47.1,1.453,5099.1,0,39895
32,technician,married,basic.9y,no,no,no,cellular,may,tue,64,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,39766
33,blue-collar,married,basic.6y,no,yes,yes,cellular,may,thu,172,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,15738
30,admin.,divorced,university.degree,no,no,yes,telephone,may,fri,164,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,7570
40,self-employed,single,university.degree,unknown,yes,yes,cellular,apr,thu,509,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1,19991
43,technician,married,professional.course,no,no,no,telephone,jun,thu,119,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,0,37538
30,blue-collar,single,basic.9y,no,yes,no,telephone,jul,thu,17,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,0,15280
39,technician,single,university.degree,no,yes,no,cellular,may,mon,612,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,1,36536
